PokerStars Tournoi #3450746434, No Limit Hold'em
Super Satellite
Buy-in : €4.50/€0.50 EUR
83 joueurs
Dotation totale : €373.50 EUR 
Tournoi cible #3450744892 Buy-in : €20.00 EUR
Tournoi commencé 13/08/2022 16:00:00 CET [13/08/2022 10:00:00 ET]

  1: AAIsMyName (France), encore en lice
  2: Al3xandru.L (Espagne), encore en lice
  3: Alexgarciaa10 (Espagne), encore en lice
  4: BEZMET 84 (Espagne), encore en lice
  5: Cataye araye (France), encore en lice
  6: Deblu17 (Espagne), encore en lice
  7: Deircile (Espagne), encore en lice
  8: Dime772 (France), encore en lice
  9: DrakzarJQK (Espagne), encore en lice
  10: ELTIGROS1 (France), encore en lice
  11: Gallegito69 (Espagne), encore en lice
  12: GreenBearrr (France), encore en lice
  13: Grobaloo (France), encore en lice
  14: JD334433 (France), encore en lice
  15: Jojo14160168 (France), encore en lice
  16: Macurki (Espagne), encore en lice
  17: MikaStar259 (France), encore en lice
  18: Niro951 (France), encore en lice
  19: PEPEGOLDE (Espagne), encore en lice
  20: Redcaille59 (France), encore en lice
  21: SamGivernaud (France), encore en lice
  22: SlimShaddy07 (France), encore en lice
  23: SobriSVQ (Espagne), encore en lice
  24: Topaze29830 (France), encore en lice
  25: albertsbd13 (Espagne), encore en lice
  26: alexmls3 (Espagne), encore en lice
  27: amorata (Espagne), encore en lice
  28: badboy290934 (France), encore en lice
  29: benedicta93 (France), encore en lice
  30: chapulin007 (Espagne), encore en lice
  31: chauviere2021 (France), encore en lice
  32: cmanzana00 (Espagne), encore en lice
  33: cocomamene (France), encore en lice
  34: egarmol (Espagne), encore en lice
  35: golfker (Espagne), encore en lice
  36: jKris1981 (France), encore en lice
  37: jazzypop74 (France), encore en lice
  38: jln7799 (France), encore en lice
  39: johnnyesta24 (Espagne), encore en lice
  40: jsg98 (Espagne), encore en lice
  41: juyaybef2000 (Espagne), encore en lice
  42: lebeninois (France), encore en lice
  43: loboextepa (Espagne), encore en lice
  44: luckynacho89 (Espagne), encore en lice
  45: mcm1881 (Espagne), encore en lice
  46: nolicana (France), encore en lice
  47: parejaas (Espagne), encore en lice
  48: pok62144 (France), encore en lice
  49: pokerfarru99 (Espagne), encore en lice
  50: robin155825 (France), encore en lice
  51: robin91188 (France), encore en lice
  52: sarakawa (Espagne), encore en lice
  53: sebastian00707 (France), encore en lice
  54: txaka85 (Espagne), encore en lice
  55: yuju80 (Espagne), encore en lice
  56: psychoman59 (France), 
  57: morenocaro (Espagne), 
  58: //BP1163// (France), 
  59: Hug8117 (France), 
  60: javich67 (Espagne), 
  61: VolgaAA (France), 
  62: Sticulus95 (France), 
  63: raphito240 (France), 
  64: pablopez13 (Espagne), 
  65: 270411 (Espagne), 
  66: kitxub (Espagne), 
  67: ncetkov (France), 
  68: IZILOQ (France), 
  69: Dr Eleka (Espagne), 
  70: jalbayu (Espagne), 
  71: russkiy478 (Espagne), 
  72: elmolar (Espagne), 
  73: sernaga (Espagne), 
  74: deudeulofeu (Espagne), 
  75: jeremy 22226 (France), 
  76: nicopok0911 (France), 
  77: walleibra2021 (Espagne), 
  78: pestio(jaen) (Espagne), 
  79: Bamhoppus (France), 
  80: perexiin (Espagne), 
  81: BigYan007 (France), 
  82: 192314 (France), 
  83: la_loli611 (Espagne), 
Vous avez terminé le tournoi (éliminé lors de la main #237964280507).


