PokerStars Tournoi #3436563170, No Limit Hold'em
Super Satellite
Buy-in : €4.50/€0.50 EUR
76 joueurs
Dotation totale : €342.00 EUR 
Tournoi cible #3436562912 Buy-in : €20.00 EUR
Tournoi commencé 31/07/2022 16:30:00 CET [31/07/2022 10:30:00 ET]

  1: 13ROS13 (Espagne), encore en lice
  2: ALLYGAT0R (Espagne), encore en lice
  3: Babybash42 (France), encore en lice
  4: Beaubarde (France), encore en lice
  5: CID7676 (France), encore en lice
  6: CRIIMSIIX (France), encore en lice
  7: Chichan35 (France), encore en lice
  8: DuuK0 (Espagne), encore en lice
  9: EpilepsyQ (France), encore en lice
  10: HoldHoldPan (France), encore en lice
  11: Iconsatyr (France), encore en lice
  12: JAVIACXEN (Espagne), encore en lice
  13: JetCab333 (France), encore en lice
  14: LPSAD (Espagne), encore en lice
  15: LiLFaF84 (France), encore en lice
  16: Lombar8 (Espagne), encore en lice
  17: Math0709 (France), encore en lice
  18: PEPEGOLDE (Espagne), encore en lice
  19: Pitu52 (Espagne), encore en lice
  20: Planeta47 (Espagne), encore en lice
  21: RA STAR90 (Espagne), encore en lice
  22: RUBI CUATRO (Espagne), encore en lice
  23: Ramy4251 (France), encore en lice
  24: RoiDuDisengage (France), encore en lice
  25: Xbalt (France), encore en lice
  26: YAKOMY (Espagne), encore en lice
  27: andonimer (Espagne), encore en lice
  28: anifleda (Espagne), encore en lice
  29: bela maria (Espagne), encore en lice
  30: berger70 (Espagne), encore en lice
  31: boulinho13 (France), encore en lice
  32: chirino137 (Espagne), encore en lice
  33: chris922 (France), encore en lice
  34: coco embrun (France), encore en lice
  35: dansicu (Espagne), encore en lice
  36: diousd29 (France), encore en lice
  37: elbandit53 (France), encore en lice
  38: elfantasmill (Espagne), encore en lice
  39: fabv.972 (France), encore en lice
  40: gansup (France), encore en lice
  41: gejeux42 (France), encore en lice
  42: golfker (Espagne), encore en lice
  43: himalaya30 (Espagne), encore en lice
  44: husone (Espagne), encore en lice
  45: iris274 (Espagne), encore en lice
  46: jeep252 (France), encore en lice
  47: johndu06 (France), encore en lice
  48: jonath3502 (France), encore en lice
  49: katsumix (France), encore en lice
  50: krustyyx (Espagne), encore en lice
  51: lu!x122 (Espagne), encore en lice
  52: luzan02 (France), encore en lice
  53: millonstars (Espagne), encore en lice
  54: motogp2013 (Espagne), encore en lice
  55: mpa mola (Espagne), encore en lice
  56: obut721 (France), encore en lice
  57: princ371 (Espagne), encore en lice
  58: saforeny (Espagne), encore en lice
  59: sebastian00707 (France), encore en lice
  60: tontongreg (France), encore en lice
  61: ttammm (France), encore en lice
  62: txuspin603 (Espagne), encore en lice
  63: psychoman59 (France), 
  64: ceed416 (France), 
  65: cheep06 (France), 
  66: bigolebluff (France), 
  67: pierretho1 (France), 
  68: sol12 (Espagne), 
  69: Squalinosse (France), 
  70: rico27240 (France), 
  71: rahma (France), 
  72: victor.sev24 (Espagne), 
  73: toritor21 (Espagne), 
  74: LuckySweety (France), 
  75: nander42 (Espagne), 
  76: aresthor666 (Espagne), 
Vous avez terminé le tournoi (éliminé lors de la main #237700440534).


