PokerStars Tournoi #3450746335, No Limit Hold'em
Super Satellite
Buy-in : €4.50/€0.50 EUR
83 joueurs
Dotation totale : €373.50 EUR 
Tournoi cible #3450744901 Buy-in : €20.00 EUR
Tournoi commencé 22/08/2022 18:00:00 CET [22/08/2022 12:00:00 ET]

  1: **civilin** (Espagne),  (qualifiés pour le tournoi cible)
  2: 50KForMe (France),  (qualifiés pour le tournoi cible)
  3: FoldToo2win (Espagne),  (qualifiés pour le tournoi cible)
  4: PEPEGOLDE (Espagne),  (qualifiés pour le tournoi cible)
  5: SamGivernaud (France),  (qualifiés pour le tournoi cible)
  6: Sergiocastillo2 (Espagne),  (qualifiés pour le tournoi cible)
  7: TiGrGr (France),  (qualifiés pour le tournoi cible)
  8: edmond5555 (France),  (qualifiés pour le tournoi cible)
  9: eoui (France),  (qualifiés pour le tournoi cible)
  10: gilliestar (France),  (qualifiés pour le tournoi cible)
  11: golfker (Espagne),  (qualifiés pour le tournoi cible)
  12: hamzaidri (Espagne),  (qualifiés pour le tournoi cible)
  13: marinadu88 (France),  (qualifiés pour le tournoi cible)
  14: morgane48 (France),  (qualifiés pour le tournoi cible)
  15: ogibus (France),  (qualifiés pour le tournoi cible)
  16: polloonfire (Espagne),  (qualifiés pour le tournoi cible)
  17: psychoman59 (France),  (qualifiés pour le tournoi cible)
  18: vizapa (Espagne),  (qualifiés pour le tournoi cible)
  19: Pinaffsoyri@ (France), €13,50
  20: L4DY@NuuTS (Espagne), 
  21: dipibo7 (Espagne), 
  22: adolius (Espagne), 
  23: ted1214 (France), 
  24: crisvillegas (Espagne), 
  25: Joko Bonito (Espagne), 
  26: A.Vazquez83 (Espagne), 
  27: RAMONIII6 (Espagne), 
  28: H0um0us (France), 
  29: ange580 (France), 
  30: silvaalves129 (France), 
  31: Madrid Bill (Espagne), 
  32: kkkklpa (France), 
  33: Lfrou (Espagne), 
  34: Hihiro77 (France), 
  35: Touch'Art (France), 
  36: inshagrat (Espagne), 
  37: samson75 (France), 
  38: rakelsan (Espagne), 
  39: Keyser59 (France), 
  40: Wenker23 (Espagne), 
  41: Dimitri0877 (France), 
  42: bedodomes (France), 
  43: sir.aitor11 (Espagne), 
  44: Eduar199 (Espagne), 
  45: rulypoker11 (Espagne), 
  46: Macurki (Espagne), 
  47: 40-Marcus (France), 
  48: Kowachii (France), 
  49: basty1397 (Espagne), 
  50: No_Recuperable (Espagne), 
  51: mdas42 (France), 
  52: acantino (Espagne), 
  53: shawir22 (Espagne), 
  54: carlitros5 (Espagne), 
  55: Spiron1 (Espagne), 
  56: ARIEL836 (France), 
  57: Panoramix II (Espagne), 
  58: faldo63 (France), 
  59: tchenkCall (France), 
  60: JORGE GAL404 (Espagne), 
  61: denis2006xx (Espagne), 
  62: perlaoro (Espagne), 
  63: zoine (France), 
  64: Ramil1959 (Espagne), 
  65: laurent2613 (France), 
  66: falopez (Espagne), 
  67: zubrov (France), 
  68: salgueRoww (Espagne), 
  69: nikostunto (France), 
  70: Kelly2208503 (France), 
  71: salomon2b212 (France), 
  72: ToucheAATout (France), 
  73: TheLizardKing25 (France), 
  74: davidelcranc (Espagne), 
  75: mehdihadj254 (France), 
  76: SERCH841 (Espagne), 
  77: Drogba593 (France), 
  78: mystic30220 (France), 
  79: chokdee29 (France), 
  80: DrakzarJQK (Espagne), 
  81: kartel510 (France), 
  82: adayorteg162 (Espagne), 
  83: jocat66 (France), 

Vous avez terminé à la 1er place (éliminé lors de la main #238149388954).


