PokerStars Tournoi #3448362557, No Limit Hold'em
Buy-in : €0.90/€0.10 EUR
452 joueurs
Dotation totale : €406.80 EUR 
Tournoi commencé 03/08/2022 10:30:00 CET [03/08/2022 4:30:00 ET]

  1: 000GG000 (Espagne), encore en lice
  2: 119791979 [2] (Portugal), encore en lice
  3: 88rodrigues (Portugal), encore en lice
  4: ARIEL836 (France), encore en lice
  5: Aiiwitch (Portugal), encore en lice
  6: Alberto60300 (France), encore en lice
  7: Albertoz11 (Espagne), encore en lice
  8: Aldrin.Z [2] (Espagne), encore en lice
  9: AllinKAmA (France), encore en lice
  10: Alvaruas78 (Espagne), encore en lice
  11: Angelferni1714 (Espagne), encore en lice
  12: Arisae (Espagne), encore en lice
  13: BV0701 (Portugal), encore en lice
  14: Bhorde.eS [2] (Espagne), encore en lice
  15: Bixtooo2 [2] (France), encore en lice
  16: Cocotte152 [2] (France), encore en lice
  17: Craps06220 [2] (France), encore en lice
  18: DEGhoto48 (France), encore en lice
  19: DR.KERPO (France), encore en lice
  20: David_C_Man (Portugal), encore en lice
  21: EEF-08 (France), encore en lice
  22: EXODE2311 (France), encore en lice
  23: EfkaristoPoli (France), encore en lice
  24: ElBigWill [2] (France), encore en lice
  25: Epic_Tuga (Portugal), encore en lice
  26: Fanch11k [2] (Ukraine), encore en lice
  27: Farenheit92 [2] (France), encore en lice
  28: Filipe Oliveira (Portugal), encore en lice
  29: GGNOOB22 (Espagne), encore en lice
  30: GuRimbano (Portugal), encore en lice
  31: HMRR88 [2] (Portugal), encore en lice
  32: HuG0.ParDAL [2] (Portugal), encore en lice
  33: HugoRocha33 (Portugal), encore en lice
  34: IniestaDeMivida (Espagne), encore en lice
  35: JADSEIXAS (Portugal), encore en lice
  36: JBar54 (Espagne), encore en lice
  37: JPhiRoy [2] (France), encore en lice
  38: JermonBallycoo (France), encore en lice
  39: LARVE64 (France), encore en lice
  40: LEGANES666MC (Espagne), encore en lice
  41: LadyCrypto [2] (Espagne), encore en lice
  42: LeBenHK [2] (France), encore en lice
  43: LeCrocMitaine (France), encore en lice
  44: MaYa057 (France), encore en lice
  45: Mariluz60 [2] (Espagne), encore en lice
  46: MaxStorm777 (Ukraine), encore en lice
  47: Moneymake577 [2] (France), encore en lice
  48: Mystic124 (France), encore en lice
  49: NFNeds1963 (Portugal), encore en lice
  50: Nearlymad1958 [2] (Espagne), encore en lice
  51: NunoMoutas (Portugal), encore en lice
  52: Olga.barsa (Espagne), encore en lice
  53: PaquidermeMS [2] (Portugal), encore en lice
  54: Payumpaye (Espagne), encore en lice
  55: ProVannes (France), encore en lice
  56: RMHamtaro (Espagne), encore en lice
  57: RicardoF2022 [2] (Portugal), encore en lice
  58: RicisKel [2] (Espagne), encore en lice
  59: Rjfb09 (Espagne), encore en lice
  60: Rjsilva14 (Portugal), encore en lice
  61: Rossi974 (France), encore en lice
  62: Rui Silva133 (Portugal), encore en lice
  63: SWANEVA27 [2] (France), encore en lice
  64: SabesComeDji (Portugal), encore en lice
  65: StrongPhoenix (France), encore en lice
  66: Stéphou69 (France), encore en lice
  67: Tanoja321 [2] (Espagne), encore en lice
  68: Tubarro23 [2] (Espagne), encore en lice
  69: Turcal (Espagne), encore en lice
  70: VOROU976 [2] (France), encore en lice
  71: ViachlackG (Espagne), encore en lice
  72: WaxxYourShot (France), encore en lice
  73: XAV75008 (France), encore en lice
  74: XxJambo_Loko (Espagne), encore en lice
  75: Y0HANN59 (France), encore en lice
  76: Zendarros (Ukraine), encore en lice
  77: adrrian21 (Espagne), encore en lice
  78: adrycampeon (Espagne), encore en lice
  79: alexiscubill (Espagne), encore en lice
  80: ansiex (Espagne), encore en lice
  81: antoniogolfe (Portugal), encore en lice
  82: askondo (Espagne), encore en lice
  83: asson105 (France), encore en lice
  84: bOb1290198 (France), encore en lice
  85: babas02100 [2] (France), encore en lice
  86: bbeato [2] (Portugal), encore en lice
  87: beli all in (France), encore en lice
  88: bolaite [2] (Espagne), encore en lice
  89: borvoleta [2] (Espagne), encore en lice
  90: brubruR9 (France), encore en lice
  91: cadahia (Espagne), encore en lice
  92: cashhoppa (Portugal), encore en lice
  93: cashyoli2481 (Portugal), encore en lice
  94: chanceuse59 [2] (France), encore en lice
  95: crapouille23 (France), encore en lice
  96: danic986 (Portugal), encore en lice
  97: darkodavilov (Espagne), encore en lice
  98: david_maxi85 [2] (Espagne), encore en lice
  99: dr10.ro (Espagne), encore en lice
  100: emeric198527 (France), encore en lice
  101: emilito266 (Espagne), encore en lice
  102: enric_cule (Espagne), encore en lice
  103: excalibur5974 [2] (France), encore en lice
  104: fabio01111 (France), encore en lice
  105: faco3113 (France), encore en lice
  106: fels47 [2] (Portugal), encore en lice
  107: fersun13 (Espagne), encore en lice
  108: fred alfonsi (France), encore en lice
  109: ft778 (Portugal), encore en lice
  110: galliasse (France), encore en lice
  111: ganhafoto (Portugal), encore en lice
  112: hercoca31 [2] (France), encore en lice
  113: heretik2b (France), encore en lice
  114: holymolly00 (Portugal), encore en lice
  115: hyfengamer [2] (Espagne), encore en lice
  116: imaguu (Espagne), encore en lice
  117: infiniter78 [2] (France), encore en lice
  118: inoxxx15 (Espagne), encore en lice
  119: ivanelec (Espagne), encore en lice
  120: javi2009g (Espagne), encore en lice
  121: jeanmimi3031 (France), encore en lice
  122: jetonfix13 [2] (France), encore en lice
  123: jglachaud (France), encore en lice
  124: joacalderon [2] (Espagne), encore en lice
  125: josuze (Espagne), encore en lice
  126: joueur19 (France), encore en lice
  127: kekepokerstar (France), encore en lice
  128: kidsmyllexd (Portugal), encore en lice
  129: kikasvences (Portugal), encore en lice
  130: kleberv104 (France), encore en lice
  131: kmin1606 (France), encore en lice
  132: kokoloko100 (Espagne), encore en lice
  133: lambada107 (France), encore en lice
  134: laurent puma (France), encore en lice
  135: ledam69000 (France), encore en lice
  136: leflo26 (France), encore en lice
  137: lelypac (Espagne), encore en lice
  138: lidav974 (Réunion), encore en lice
  139: lobodimonte5 (Portugal), encore en lice
  140: lucas03120 (France), encore en lice
  141: ludochristine (France), encore en lice
  142: lydia59100 [2] (France), encore en lice
  143: manoliyo53 (Espagne), encore en lice
  144: marthely (France), encore en lice
  145: martinell443 (Espagne), encore en lice
  146: mattheshark [2] (France), encore en lice
  147: mlekevin (Guyane française), encore en lice
  148: mortalmor (Espagne), encore en lice
  149: mourad271 (France), encore en lice
  150: oliver151540 (France), encore en lice
  151: otristanooo (France), encore en lice
  152: paloerandio [2] (Espagne), encore en lice
  153: pedroppr [2] (Espagne), encore en lice
  154: penserini68 (France), encore en lice
  155: pequeñoconan (Espagne), encore en lice
  156: pipe819 (Espagne), encore en lice
  157: pirreco [2] (Portugal), encore en lice
  158: preto 4444 [2] (Portugal), encore en lice
  159: psycho-clown76L (France), encore en lice
  160: rikard0_x [2] (France), encore en lice
  161: rufus1509196 (Portugal), encore en lice
  162: sabadell-1 [2] (Espagne), encore en lice
  163: saez90 (Espagne), encore en lice
  164: scorpi3600 (France), encore en lice
  165: scoubidou57 (France), encore en lice
  166: shinsekai09 (France), encore en lice
  167: siniiney (Bélarus), encore en lice
  168: sonnygoal286 (France), encore en lice
  169: susic21 (France), encore en lice
  170: suso32 (Espagne), encore en lice
  171: t007ny pt (Portugal), encore en lice
  172: teddy452 (France), encore en lice
  173: teruchi (Espagne), encore en lice
  174: thomas565455 (France), encore en lice
  175: undestin95 (France), encore en lice
  176: vargas1485 [2] (Espagne), encore en lice
  177: vica1618 (Portugal), encore en lice
  178: vruuuuk (Portugal), encore en lice
  179: wynermax (France), encore en lice
  180: x Paraiso8k (Espagne), encore en lice
  181: xMICMAC [2] (France), encore en lice
  182: xXxSergiOxXx69 (Espagne), encore en lice
  183: xoelinhoo (Espagne), encore en lice
  184: youn59180 [2] (France), encore en lice
  185: zfenix1 (Espagne), encore en lice
  186: zioberg73 (Espagne), encore en lice
  187: psychoman59 (France), 
  188: stroppier (Espagne), 
  189: requi22 [2] (Portugal), 
  190: bbeato (Portugal), 
  191: hercoca31 (France), 
  192: joaommcaeca (Portugal), 
  193: hyfengamer (Espagne), 
  194: preto 4444 (Portugal), 
  195: joacalderon (Espagne), 
  196: acharnee51 (France), 
  197: fels47 (Portugal), 
  198: jpcfreitas [2] (Portugal), 
  199: mattheshark (France), 
  200: Carecrimen96 (Espagne), 
  201: Akia49001 (France), 
  202: HuG0.ParDAL (Portugal), 
  203: alf_kratos [2] (Espagne), 
  204: excalibur5974 (France), 
  205: winewin63 [2] (France), 
  206: byBizak [2] (Espagne), 
  207: Fanch11k (Ukraine), 
  208: jm_spain_83 [2] (Espagne), 
  209: lydia59100 (France), 
  210: SWANEVA27 (France), 
  211: vargas1485 (Espagne), 
  212: simontt30 (France), 
  213: lovesfish (France), 
  214: koska710 [2] (Portugal), 
  215: babas02100 (France), 
  216: miguefab (France), 
  217: JoãoCê [2] (Portugal), 
  218: omar valencia98 [2] (Espagne), 
  219: fmestre29 [2] (Espagne), 
  220: 119791979 (Portugal), 
  221: cabresto1 (Espagne), 
  222: /pitchou799 (France), 
  223: Snake.528011 (France), 
  224: SRGG13 [2] (Espagne), 
  225: FriTe.tz (France), 
  226: Farenheit92 (France), 
  227: hobi57 [2] (France), 
  228: PaquidermeMS (Portugal), 
  229: PAPArus70 [2] (France), 
  230: gaspardino (France), 
  231: chawarmaa [2] (France), 
  232: eric77130 [2] (France), 
  233: JazzTeam [2] (Espagne), 
  234: Tyziro (France), 
  235: oromë72 (Espagne), 
  236: PowerPichi (Espagne), 
  237: jako54560 (France), 
  238: lxbica (Portugal), 
  239: FrelonSakey (France), 
  240: Moneymake577 (France), 
  241: NSPyro [2] (France), 
  242: manolo9594 (Espagne), 
  243: juujo (Espagne), 
  244: Muni931 (France), 
  245: hobi57 (France), 
  246: torerito26 (Espagne), 
  247: zari1974 (Espagne), 
  248: felixfeliz1 (Espagne), 
  249: don_jojo59 (France), 
  250: VRGDRG (Espagne), 
  251: rnb333 (Portugal), 
  252: kokonstonton (France), 
  253: fmestre29 (Espagne), 
  254: superpich8 [2] (Espagne), 
  255: rdenmi (Espagne), 
  256: flop69100 (France), 
  257: Hérésie [2] (France), 
  258: JoãoCê (Portugal), 
  259: AlexandrLeGrand (France), 
  260: Mariluz60 (Espagne), 
  261: cristy0406 [2] (Espagne), 
  262: JazzTeam (Espagne), 
  263: SansGluten1993 (France), 
  264: ZGZ333 (Espagne), 
  265: Psylar_333 (Espagne), 
  266: Yanakin76 [2] (France), 
  267: fitus69 (Espagne), 
  268: BelaMG [2] (France), 
  269: Roouus (Espagne), 
  270: chawarmaa (France), 
  271: VOROU976 (France), 
  272: MIGUELL71 (Espagne), 
  273: VincePACA [2] (France), 
  274: GobGobGluton (France), 
  275: popitecus (Espagne), 
  276: cocoliso666 [2] (Espagne), 
  277: Aldrin.Z (Espagne), 
  278: fedb:termi [2] (Espagne), 
  279: cristy0406 (Espagne), 
  280: renuelos (Espagne), 
  281: Spereiraa11 (Portugal), 
  282: raduooo92 (France), 
  283: NSPyro (France), 
  284: justinofps (Portugal), 
  285: Ciro7686 [2] (France), 
  286: bolaite (Espagne), 
  287: pirreco (Portugal), 
  288: malfox33 [2] (France), 
  289: RicardoF2022 (Portugal), 
  290: kidpoker7171 [2] (Portugal), 
  291: elrobaciega [2] (Espagne), 
  292: AldoMoro588 [2] (France), 
  293: Ramosss18 [2] (France), 
  294: eliefedida [2] (France), 
  295: jopatate07 (France), 
  296: Finalo4kin (Bélarus), 
  297: gwlad1010 [2] (France), 
