PokerStars Tournoi #3436563298, No Limit Hold'em
Super Satellite
Buy-in : €4.50/€0.50 EUR
87 joueurs
Dotation totale : €391.50 EUR 
Tournoi cible #3436562913 Buy-in : €20.00 EUR
Tournoi commencé 01/08/2022 16:00:00 CET [01/08/2022 10:00:00 ET]

  1: BTTisma (France),  (qualifiés pour le tournoi cible)
  2: Deircile (Espagne),  (qualifiés pour le tournoi cible)
  3: Dragoman25 (Espagne),  (qualifiés pour le tournoi cible)
  4: KinGGunteRps (France),  (qualifiés pour le tournoi cible)
  5: Lewan1997 (Espagne),  (qualifiés pour le tournoi cible)
  6: RaimonBonet (Espagne),  (qualifiés pour le tournoi cible)
  7: Valoche54440 (France),  (qualifiés pour le tournoi cible)
  8: amandis_poker (Espagne),  (qualifiés pour le tournoi cible)
  9: asuncionjj (Espagne),  (qualifiés pour le tournoi cible)
  10: caliorro (Espagne),  (qualifiés pour le tournoi cible)
  11: golfker (Espagne),  (qualifiés pour le tournoi cible)
  12: jenyfaire (France),  (qualifiés pour le tournoi cible)
  13: joram6901 (France),  (qualifiés pour le tournoi cible)
  14: mentalistaQQ (Espagne),  (qualifiés pour le tournoi cible)
  15: morcystars (Espagne),  (qualifiés pour le tournoi cible)
  16: penserini68 (France),  (qualifiés pour le tournoi cible)
  17: psychoman59 (France),  (qualifiés pour le tournoi cible)
  18: yoyodu93250 (France),  (qualifiés pour le tournoi cible)
  19: crac006 (France),  (qualifiés pour le tournoi cible)
  20: Misterchriis (France), €11,50
  21: BARJAVEL75 (France), 
  22: hatxy (Espagne), 
  23: yoyo287676 (France), 
  24: vespinos7 (Espagne), 
  25: boulys636613 (France), 
  26: atorrent3 (Espagne), 
  27: PEPEGOLDE (Espagne), 
  28: victorbuzon (Espagne), 
  29: saforeny (Espagne), 
  30: nicuelo (Espagne), 
  31: cachorro16 (Espagne), 
  32: LosBerros (Espagne), 
  33: kaspated84 (France), 
  34: shinsekai09 (France), 
  35: mariaycosta (Espagne), 
  36: Jeremiel20 (Espagne), 
  37: mishel66451 (France), 
  38: Mepica1huevo (Espagne), 
  39: Maamaa09 (France), 
  40: goura83 (France), 
  41: PCsProject (France), 
  42: sr alcapone (Espagne), 
  43: captain50100 (France), 
  44: Alex momone7 (France), 
  45: traposillo (Espagne), 
  46: gejeux42 (France), 
  47: TANIAKMYKC (Espagne), 
  48: ALLINPRO67 (France), 
  49: jusoma7511 (Espagne), 
  50: cuchipoker95 (Espagne), 
  51: faeleaf (France), 
  52: jimbojonaaas (Espagne), 
  53: fcbteam77 (Espagne), 
  54: messi41 (Espagne), 
  55: LuckySweety (France), 
  56: giovafish (France), 
  57: rubis33380 (France), 
  58: davo1010 (Espagne), 
  59: rufoxxx (Espagne), 
  60: mariostar119 (Espagne), 
  61: ariastark33 (Espagne), 
  62: Oddiworld (Espagne), 
  63: AnaBosceno (Espagne), 
  64: totobonoto (France), 
  65: pim8823 (Espagne), 
  66: Silva210994 (Espagne), 
  67: egocalme49 (France), 
  68: Gallehuyy (Espagne), 
  69: alexy2011636 (France), 
  70: raulferreras (Espagne), 
  71: mandoeu (Espagne), 
  72: geo130009 (France), 
  73: petter86fm (Espagne), 
  74: marius_mot75 (Espagne), 
  75: javi1219 (Espagne), 
  76: LPSAD (Espagne), 
  77: dejavuxpq (Espagne), 
  78: tipilove71 (France), 
  79: nandi55555 (Espagne), 
  80: Juanki Lopez99 (Espagne), 
  81: 3BeTWhiT93 (Espagne), 
  82: jaimegr33 (Espagne), 
  83: radine72 (France), 
  84: omallet69220 (France), 
  85: FCG1990 (Espagne), 
  86: Bob SLEG (France), 
  87: Macurki (Espagne), 

Vous avez terminé à la 1er place (éliminé lors de la main #237722344208).


