PokerStars Tournoi #3449379397, No Limit Hold'em
Buy-in : €0.22/€0.03 EUR
146 joueurs
Dotation totale : €7.30 EUR 
Tournoi commencé 31/07/2022 17:24:13 CET [31/07/2022 11:24:13 ET]

  1: AvRpT95 (Portugal), encore en lice
  2: Dareun (Portugal), encore en lice
  3: Fosskkk [2] (Espagne), encore en lice
  4: Nairdo (France), encore en lice
  5: POTJACQUES [2] (France), encore en lice
  6: PititBolide (France), encore en lice
  7: PlacardInvisibl (France), encore en lice
  8: PoiPla (Espagne), encore en lice
  9: ROSPECT (France), encore en lice
  10: Tomás Marques96 (Portugal), encore en lice
  11: Triton59000 [3] (France), encore en lice
  12: abiecte [2] (Portugal), encore en lice
  13: aldocaira [5] (Espagne), encore en lice
  14: anxela-gal (Espagne), encore en lice
  15: barny12 (Espagne), encore en lice
  16: benitotem (France), encore en lice
  17: camet crv 70 [3] (Espagne), encore en lice
  18: chach-m (Espagne), encore en lice
  19: colargol21 (France), encore en lice
  20: deforce22 (Espagne), encore en lice
  21: didifish (Portugal), encore en lice
  22: fortu2010 (Espagne), encore en lice
  23: jomsacc (Espagne), encore en lice
  24: jorge23747 (Espagne), encore en lice
  25: keentoor (Espagne), encore en lice
  26: kokkomaid [2] (France), encore en lice
  27: lauramini87 (France), encore en lice
  28: lorena2720 [2] (Espagne), encore en lice
  29: mangalic92 (Espagne), encore en lice
  30: meyi812 [2] (Espagne), encore en lice
  31: mikamarie62 (France), encore en lice
  32: patrickk13 (France), encore en lice
  33: perola890 [2] (Espagne), encore en lice
  34: peterpan2616 [2] (Espagne), encore en lice
  35: philou_1428 [2] (France), encore en lice
  36: rasuarez24 (Portugal), encore en lice
  37: rayanou2409 (France), encore en lice
  38: rubenhpsquad (Espagne), encore en lice
  39: samuel66170 [3] (France), encore en lice
  40: scorpion1976h (Portugal), encore en lice
  41: sol58ermta [2] (Espagne), encore en lice
  42: wilsonpiazza (Espagne), encore en lice
  43: wistrol90 (Espagne), encore en lice
  44: ziloong [4] (Espagne), encore en lice
  45: ivobrites (Portugal), 
  46: psychoman59 (France), 
  47: llebrez (Espagne), 
  48: rekena 1981 [3] (Espagne), 
  49: CamaXos (Espagne), 
  50: TomásiaSS (Portugal), 
  51: TeresaHCH [6] (Espagne), 
  52: CeyCey1989 [6] (France), 
  53: landru6262 (France), 
  54: Labiata1 (Portugal), 
  55: 0_cristina_0 (Portugal), 
  56: pgkiller5 (Espagne), 
  57: enric555 (Espagne), 
  58: CeyCey1989 [5] (France), 
  59: Lucks056 [4] (France), 
  60: TeresaHCH [5] (Espagne), 
  61: corosole971 (France), 
  62: CeyCey1989 [4] (France), 
  63: lorena2720 (Espagne), 
  64: YLICE [2] (Espagne), 
  65: ziloong [3] (Espagne), 
  66: mimizenxmp [2] (France), 
  67: CeyCey1989 [3] (France), 
  68: maggy.1313 (Portugal), 
  69: TeresaHCH [4] (Espagne), 
  70: rekena 1981 [2] (Espagne), 
  71: barros6464 (Portugal), 
  72: guillerh807 (Espagne), 
  73: samuel66170 [2] (France), 
  74: carecas79 (Portugal), 
  75: keaser4ever (France), 
  76: trafarel9 [2] (Espagne), 
  77: Alvarotol818 [3] (Espagne), 
  78: blumo (Espagne), 
  79: camet crv 70 [2] (Espagne), 
  80: ziloong [2] (Espagne), 
  81: samuel66170 (France), 
  82: CeyCey1989 [2] (France), 
  83: jfvazcm [3] (Portugal), 
  84: YLICE (Espagne), 
  85: tziginer (France), 
  86: frameto95 (France), 
  87: peterpan2616 (Espagne), 
  88: Alvarotol818 [2] (Espagne), 
  89: aldocaira [4] (Espagne), 
  90: kokkomaid (France), 
  91: josue13590 (Espagne), 
  92: jackyc76 (France), 
  93: LEAOSTAR (Portugal), 
  94: Alvarotol818 (Espagne), 
  95: didouill (France), 
  96: ese-jimenez (Espagne), 
  97: TeresaHCH [3] (Espagne), 
  98: Mananges (France), 
  99: ziloong (Espagne), 
  100: sol58ermta (Espagne), 
  101: jfvazcm [2] (Portugal), 
  102: barbeiro73 (Portugal), 
  103: CeyCey1989 (France), 
  104: Vichejo (Espagne), 
  105: Triton59000 [2] (France), 
  106: harpiano1234 (Espagne), 
  107: philou_1428 (France), 
  108: Triton59000 (France), 
  109: AfricaSes (Espagne), 
  110: jorobado142 [2] (Espagne), 
  111: Lucks056 [3] (France), 
  112: sourire9 (France), 
  113: POTJACQUES (France), 
  114: GAVILANGED (Espagne), 
  115: pill08 (France), 
  116: LMAC97 (Portugal), 
  117: bela maria [2] (Espagne), 
  118: mimizenxmp (France), 
  119: camet crv 70 (Espagne), 
  120: dani00dani (Portugal), 
  121: trafarel9 (Espagne), 
  122: tontonlion06 (France), 
  123: lestatt 01 (Espagne), 
  124: TeresaHCH [2] (Espagne), 
  125: DaekLight [2] (France), 
  126: Lucks056 [2] (France), 
  127: TeresaHCH (Espagne), 
  128: jfvazcm (Portugal), 
  129: Lucks056 (France), 
  130: meyi812 (Espagne), 
  131: bela maria (Espagne), 
  132: Fosskkk (Espagne), 
  133: aldocaira [3] (Espagne), 
  134: andré.fpp96 (Portugal), 
  135: rekena 1981 (Espagne), 
  136: DaekLight (France), 
  137: jorobado142 (Espagne), 
  138: pika52 (Portugal), 
  139: aldocaira [2] (Espagne), 
  140: perola890 (Espagne), 
  141: thibautwars (France), 
  142: squalitobleu (Réunion), 
  143: aldocaira (Espagne), 
  144: Nineune (Espagne), 
  145: Ratamare83 (France), 
  146: abiecte (Portugal), 

Vous avez terminé à la 46e place (éliminé lors de la main #237702547883).


