PokerStars Tournoi #3465165052, No Limit Hold'em
Buy-in : €4.50/€0.50 EUR
280 joueurs
Dotation totale : €5000.00 EUR 
Tournoi commencé 09/09/2022 17:00:00 CET [09/09/2022 11:00:00 ET]

  1: $pekt0r1 (Bélarus), encore en lice
  2: -Full24000- (France), encore en lice
  3: 1488 BURI 1488 (Ukraine), encore en lice
  4: 19shade19 (France), encore en lice
  5: 401Richi (Espagne), encore en lice
  6: 555orest (Ukraine), encore en lice
  7: 66RERE (France), encore en lice
  8: AAvinceAARR (France), encore en lice
  9: ABotillo12 (Espagne), encore en lice
  10: ACAPULCO7 (Espagne), encore en lice
  11: ALBUQUI [2] (Espagne), encore en lice
  12: APACHE 696 (Espagne), encore en lice
  13: AlexandraBotez (Lituanie), encore en lice
  14: Andrjey7777 (Ukraine), encore en lice
  15: AnthoninM (France), encore en lice
  16: Aquaterra25 (France), encore en lice
  17: Ayyyyyy9_- (France), encore en lice
  18: BARJAVEL75 (France), encore en lice
  19: BOTE82 (Espagne), encore en lice
  20: BUISSON95 (France), encore en lice
  21: BWhaleroos (Finlande), encore en lice
  22: Babyfishka66 (Ukraine), encore en lice
  23: Baggles59 (France), encore en lice
  24: Basten20 (Portugal), encore en lice
  25: BionOgurcov (Ukraine), encore en lice
  26: CHEMICAL23 (Espagne), encore en lice
  27: ChiflyAtk (Espagne), encore en lice
  28: Chray1 (Espagne), encore en lice
  29: Chucreza (Brésil), encore en lice
  30: Cossack82 (Moldavie), encore en lice
  31: CrispyBacoon (France), encore en lice
  32: Culiro (Portugal), encore en lice
  33: DIMI_YOVI (Espagne), encore en lice
  34: Daloba (Espagne), encore en lice
  35: Davidlavrador (Portugal), encore en lice
  36: DepecheMode62 (France), encore en lice
  37: Doutorsp70 (Portugal), encore en lice
  38: Dzokara7 (France), encore en lice
  39: EDI1979pl (Irlande), encore en lice
  40: EmmettBr (Réunion), encore en lice
  41: ErwannEva (France), encore en lice
  42: ExtremoSPKS (Espagne), encore en lice
  43: FRANK2244 [2] (Espagne), encore en lice
  44: FXPrime (Ukraine), encore en lice
  45: Fadz08 (France), encore en lice
  46: FlipWinner82 (Monténégro), encore en lice
  47: GaizkaJ6 (Espagne), encore en lice
  48: Gioxy97 (Espagne), encore en lice
  49: GoldDragon28 (Portugal), encore en lice
  50: Gomes749 (Portugal), encore en lice
  51: Gunbat3t3 (Portugal), encore en lice
  52: Hugo28062011 (Espagne), encore en lice
  53: IdenN (Portugal), encore en lice
