PokerStars Tournoi #3457977487, No Limit Hold'em
Buy-in : €4.50/€0.50 EUR
301 joueurs
Dotation totale : €4000.00 EUR 
Tournoi commencé 26/08/2022 17:00:00 CET [26/08/2022 11:00:00 ET]

  1: $anc4e$ (Kazakhstan), encore en lice
  2: 10redingtontomy (Espagne), encore en lice
  3: 1488 BURI 1488 (Ukraine), encore en lice
  4: 2360Babut (France), encore en lice
  5: 297diamond (Espagne), encore en lice
  6: 3mecbet [2] (France), encore en lice
  7: 401Richi (Espagne), encore en lice
  8: 7mkostya93 (Ukraine), encore en lice
  9: 888pokeer (Espagne), encore en lice
  10: 999mary999 (Bélarus), encore en lice
  11: AAFACE-OFFAA (Espagne), encore en lice
  12: AJGRSC [2] (Portugal), encore en lice
  13: ALEXmvpALEX (Lituanie), encore en lice
  14: ANTONIOUEBO (Espagne), encore en lice
  15: Abrek777ing (France), encore en lice
  16: AdriLYA (Espagne), encore en lice
  17: Akaneton (Portugal), encore en lice
  18: AlexandraBotez (Lituanie), encore en lice
  19: Alvaro2K (Espagne), encore en lice
  20: Andreperesss (Portugal), encore en lice
  21: AnthoninM (France), encore en lice
  22: Antomac65 (Portugal), encore en lice
  23: Anybos (Ukraine), encore en lice
  24: AyeRim14 (Espagne), encore en lice
  25: BETMANIAC (Portugal), encore en lice
  26: BUD2308 (Espagne), encore en lice
  27: Babyfishka66 (Ukraine), encore en lice
  28: Baman4 (Ukraine), encore en lice
  29: BelleAffaire (France), encore en lice
  30: Benoît S (France), encore en lice
  31: BionOgurcov (Ukraine), encore en lice
  32: Bitxoia [2] (Portugal), encore en lice
  33: Black_Motya_07 [2] (Bélarus), encore en lice
  34: BorKa627 (Arménie), encore en lice
  35: Captnglou (France), encore en lice
  36: CduDragonal (France), encore en lice
  37: Chehich97 (Bélarus), encore en lice
  38: Choco Dropa (Portugal), encore en lice
  39: Culiro (Portugal), encore en lice
  40: Deepyos (Portugal), encore en lice
  41: ELSANTO_BCN (Espagne), encore en lice
  42: EgoHijack (Espagne), encore en lice
  43: El Charandel (Espagne), encore en lice
  44: Epsilon 505 (Espagne), encore en lice
  45: Eva_es (Bélarus), encore en lice
  46: FEChampion (Espagne), encore en lice
  47: FOLD3BET18 (France), encore en lice
  48: FXPrime (Ukraine), encore en lice
  49: Felek12 (Espagne), encore en lice
  50: First_307 (Espagne), encore en lice
  51: Flavix30 (Portugal), encore en lice
  52: Floppy-0000 (France), encore en lice
  53: Fmm48 (Espagne), encore en lice
  54: Fred141065 (France), encore en lice
  55: Frugi26 (France), encore en lice
  56: G0oldenBoy (France), encore en lice
  57: Gagarunadora (Brésil), encore en lice
  58: Gioxy97 (Espagne), encore en lice
  59: Godess Maeve (Portugal), encore en lice
  60: GoldDragon28 (Portugal), encore en lice
  61: Haser2612 (Ukraine), encore en lice
  62: Im_Billi0naire (Ukraine), encore en lice
  63: IveyZaur (Portugal), encore en lice
  64: JaguarGorgone (France), encore en lice
  65: Jokz C (Portugal), encore en lice
  66: Josedaviid10 (Espagne), encore en lice
  67: KombiNits (France), encore en lice
  68: Kommandos (Espagne), encore en lice
  69: Kutashto (Espagne), encore en lice
  70: LADAFE444 (Argentine), encore en lice
  71: LUCHO13832 (France), encore en lice
  72: Lacraps20 (France), encore en lice
  73: LanceART (France), encore en lice
  74: LeDom66 (France), encore en lice
  75: Limbator5 (Espagne), encore en lice
  76: LinstantPoker (France), encore en lice
  77: Luck_ 3434 (Portugal), encore en lice
  78: Machadix69 (Portugal), encore en lice
  79: ManSilva3060 (Portugal), encore en lice
  80: Mathew013 (Espagne), encore en lice
  81: Milky Way 1kk (Bélarus), encore en lice
  82: MoggyPoon (Portugal), encore en lice
  83: MonTar10 (France), encore en lice
  84: Monstick (Espagne), encore en lice
  85: Mosca bzzzx (Portugal), encore en lice
  86: MrPsychoReg (France), encore en lice
  87: NEY10.7KMPÉ (France), encore en lice
  88: NewliferES (Kazakhstan), encore en lice
  89: OndeSeFolda? (Portugal), encore en lice
  90: P1NKMAN_94 (Bélarus), encore en lice
  91: PALYNDROME21 (France), encore en lice
  92: PATOU1602 (France), encore en lice
  93: PT313stars (Portugal), encore en lice
  94: Pagatuti (Espagne), encore en lice
  95: Pantsakou_D (Bélarus), encore en lice
  96: ParedesParadise (France), encore en lice
  97: Patixu1991 (Portugal), encore en lice
  98: Pedrito3298 [2] (Espagne), encore en lice
  99: Peneirinh@13 (Portugal), encore en lice
  100: PepeJuan44 (Espagne), encore en lice
  101: Perdido267 [2] (Portugal), encore en lice
  102: PinkKush22 (France), encore en lice
  103: Pokerdeosos (Espagne), encore en lice
  104: PutinCFifoUnPib (Argentine), encore en lice
  105: RBonomiS (France), encore en lice
  106: RS_DD411 (Bélarus), encore en lice
  107: RainbowS.L (Espagne), encore en lice
  108: RaistlinAzul (Espagne), encore en lice
  109: Ri0017 (Ukraine), encore en lice
  110: Rominou50 (France), encore en lice
  111: SIMA0613 (Ukraine), encore en lice
  112: Sephan973 (France), encore en lice
  113: ShivasWisdom (Espagne), encore en lice
  114: Sopalinou26 (France), encore en lice
  115: Takafolder (France), encore en lice
  116: TomásFco (Espagne), encore en lice
  117: Totalbanal1 (France), encore en lice
  118: Txakarte314 (Espagne), encore en lice
  119: VIVILAFOLLE (France), encore en lice
  120: ValarMorghulys (France), encore en lice
  121: Vazaika777 (Ukraine), encore en lice
  122: Vitalik607r (Bélarus), encore en lice
  123: Vizerius (Ukraine), encore en lice
  124: Vlad9907M (Ukraine), encore en lice
  125: W1shM3Luck (France), encore en lice
  126: WinTheBablo (Ukraine), encore en lice
  127: WogaWogaWoga (Ukraine), encore en lice
  128: WyrzykTM (Pologne), encore en lice
  129: XXXXBorodaXXX (Espagne), encore en lice
  130: XaviiPK (Espagne), encore en lice
  131: Xx sanse xX (Espagne), encore en lice
  132: Yanakin76 (France), encore en lice
  133: aburejo2 (Espagne), encore en lice
  134: albakora [2] (Espagne), encore en lice
  135: alexisrapita (Espagne), encore en lice
  136: alfonick (Espagne), encore en lice
  137: alphamantra (France), encore en lice
  138: anaroualok_1 (France), encore en lice
  139: ashenaki07 (France), encore en lice
  140: aurivairde (France), encore en lice
  141: bamo.11000 (France), encore en lice
  142: belt384 (Portugal), encore en lice
  143: berganza25 (Espagne), encore en lice
  144: bettyvilmala (Espagne), encore en lice
  145: bobitoo198 (Espagne), encore en lice
  146: boutsy13 (France), encore en lice
  147: brainfuz (Portugal), encore en lice
  148: cHeLeNtaNo4 (Espagne), encore en lice
  149: cabilha (Portugal), encore en lice
  150: camaronmarly (Espagne), encore en lice
  151: carlosGR8 (Espagne), encore en lice
  152: cass im cass (France), encore en lice
  153: charlin82 (Espagne), encore en lice
  154: chenicoo (France), encore en lice
  155: chinnak (Portugal), encore en lice
  156: chisuarca (Espagne), encore en lice
  157: chmnhk (Espagne), encore en lice
  158: coke1415 (Espagne), encore en lice
  159: dagolu (Espagne), encore en lice
  160: daianas (Espagne), encore en lice
  161: dapaesperto (Portugal), encore en lice
  162: davidelcranc (Espagne), encore en lice
  163: demaksli (Bélarus), encore en lice
  164: denisdoc75 (France), encore en lice
  165: deudeulofeu (Espagne), encore en lice
  166: dfrx1982 (France), encore en lice
  167: diegorroms93 (Espagne), encore en lice
  168: dixers110 (Portugal), encore en lice
  169: dr squeeze31 (France), encore en lice
  170: easytogetyou88 (Portugal), encore en lice
  171: ecua517 (Espagne), encore en lice
  172: edu augusto (Espagne), encore en lice
  173: elcabo360 [2] (Espagne), encore en lice
  174: elpolidiaz (Espagne), encore en lice
  175: emilito266 (Espagne), encore en lice
  176: espedrinien (Portugal), encore en lice
  177: espi5169 (Espagne), encore en lice
  178: extazyyy01 (France), encore en lice
  179: ferofu (Espagne), encore en lice
  180: fifi97418 (Réunion), encore en lice
  181: flowbiz29 (France), encore en lice
  182: garret2904 (Pologne), encore en lice
  183: geoserca (Espagne), encore en lice
  184: gokuars (Espagne), encore en lice
  185: golfker [2] (Espagne), encore en lice
  186: gone006 [2] (Espagne), encore en lice
  187: guayaquil31 (France), encore en lice
  188: hankanuto (Espagne), encore en lice
  189: himalaya30 (Espagne), encore en lice
  190: igordu77 (France), encore en lice
  191: ines200512 (Portugal), encore en lice
  192: internalcrisis (France), encore en lice
  193: istomo (Espagne), encore en lice
  194: jean_kder_1 (France), encore en lice
  195: jesusoronoz (Espagne), encore en lice
  196: jjuuan13 (France), encore en lice
  197: jnebator (France), encore en lice
  198: jpimenta16 (Portugal), encore en lice
  199: juankarker (Espagne), encore en lice
  200: juja122471 [2] (France), encore en lice
  201: juju6300 (France), encore en lice
  202: julitopoket (Espagne), encore en lice
  203: justluckpok (France), encore en lice
  204: kal1011 (France), encore en lice
  205: kaloup44 (France), encore en lice
  206: kasystoner (Espagne), encore en lice
  207: keus-one (France), encore en lice
  208: kikoun13 (France), encore en lice
  209: kouman17 (France), encore en lice
  210: le taurion (France), encore en lice
  211: le.q.kila (France), encore en lice
  212: lecoque187 (France), encore en lice
  213: lesec83100 (France), encore en lice
  214: lions-blanc2 (France), encore en lice
  215: lolokawalsd85 (France), encore en lice
  216: longdimir (Bélarus), encore en lice
  217: lydovorot (Bélarus), encore en lice
  218: ma_cream (Espagne), encore en lice
  219: magnax07 (France), encore en lice
  220: manelaraujo (Portugal), encore en lice
  221: manohierro1957 (Espagne), encore en lice
  222: manuterium (Espagne), encore en lice
  223: marley-886 (France), encore en lice
  224: marytedy99 (France), encore en lice
  225: max.ngt12 (Ukraine), encore en lice
  226: mckarcy (Espagne), encore en lice
  227: mellitisylvaine (France), encore en lice
  228: meninasafada (Espagne), encore en lice
  229: mikhailbryk (Ukraine), encore en lice
  230: mjgdias (Portugal), encore en lice
  231: moim77 (France), encore en lice
  232: morcystars (Espagne), encore en lice
  233: mrp3922 (Espagne), encore en lice
  234: musstation (Espagne), encore en lice
  235: musti13 (Espagne), encore en lice
  236: negreaex (Argentine), encore en lice
  237: nellussus (France), encore en lice
  238: nonoleboucan (France), encore en lice
  239: ogibus (France), encore en lice
  240: oscarthe147 (France), encore en lice
  241: parejaas (Espagne), encore en lice
  242: pedrox92x (France), encore en lice
  243: perfectbeing (Lettonie), encore en lice
  244: petter86fm (Espagne), encore en lice
  245: pokemortibus (France), encore en lice
  246: popeche60 (France), encore en lice
  247: raroraro04 (Espagne), encore en lice
  248: recrrcr21 (Bélarus), encore en lice
  249: rickey44$$ (France), encore en lice
  250: rmpsboyz [2] (Espagne), encore en lice
  251: ronoaoli (France), encore en lice
  252: safistkiddd (Finlande), encore en lice
  253: satanikluck (Espagne), encore en lice
  254: sjimgo1 (Espagne), encore en lice
  255: solid-kyd (France), encore en lice
  256: soydragon64 (Espagne), encore en lice
  257: stiwy69 (Espagne), encore en lice
  258: suripok (France), encore en lice
  259: taluuuuuummm (Bélarus), encore en lice
  260: tccipio117 (Ukraine), encore en lice
  261: tgsemedo*PT (Portugal), encore en lice
  262: tiltymonkey (Bélarus), encore en lice
  263: toñostars (Espagne), encore en lice
  264: ugano (Espagne), encore en lice
  265: vascomorais1 (Portugal), encore en lice
  266: vosanov (Espagne), encore en lice
  267: willy_cadiz1 (Espagne), encore en lice
  268: win54115 [2] (France), encore en lice
  269: x CAMILLE x (France), encore en lice
  270: xNoLimitfrx (France), encore en lice
  271: xallin966 (France), encore en lice
  272: xxgkissxx (France), encore en lice
  273: yakuse67 (France), encore en lice
  274: yorlin241 (Bélarus), encore en lice
  275: yoyodu93250 (France), encore en lice
  276: yoyololo999 (France), encore en lice
  277: zasstar (Espagne), encore en lice
  278: psychoman59 (France), 
  279: matjoclach (France), 
  280: FREDSTAN (France), 
  281: gone006 (Espagne), 
  282: babtouvoleur (France), 
  283: win54115 (France), 
  284: AJGRSC (Portugal), 
  285: bacjac10 (France), 
  286: Joseemm12 (Espagne), 
  287: elcabo360 (Espagne), 
  288: KENAVO5 (France), 
  289: Lascar3289 (France), 
  290: andresbbbb (Espagne), 
  291: 3mecbet (France), 
  292: rmpsboyz (Espagne), 
  293: ideefixe61 (France), 
  294: Black_Motya_07 (Bélarus), 
  295: Pedrito3298 (Espagne), 
  296: juja122471 (France), 
  297: Bitxoia (Portugal), 
  298: albakora (Espagne), 
  299: Perdido267 (Portugal), 
  300: zyrianjeka (Ukraine), 
  301: stoptonbluff06 (France), 
  302: golfker (Espagne), 
Vous avez terminé le tournoi (éliminé lors de la main #238227496456).


