PokerStars Tournoi #3450744919, No Limit Hold'em
Super Satellite
Buy-in : €18.00/€2.00 EUR
70 joueurs
Dotation totale : €1260.00 EUR 
Tournoi cible #3436562883 Buy-in : €250.00 EUR
Tournoi commencé 05/09/2022 21:00:00 CET [05/09/2022 15:00:00 ET]

  1: 3mili0o0o (Espagne), encore en lice
  2: CHOLOPETYONE (Espagne), encore en lice
  3: Cheku_9 (Espagne), encore en lice
  4: CroKCrok7569 (France), encore en lice
  5: Cédrico764 (France), encore en lice
  6: Dzcnst (France), encore en lice
  7: Gamershoote (France), encore en lice
  8: HorseTeam (Espagne), encore en lice
  9: Imperium69 (France), encore en lice
  10: JORGE GAL404 (Espagne), encore en lice
  11: JPitiCiv (Espagne), encore en lice
  12: MATTMOUSSILOU (France), encore en lice
  13: Natavota (Espagne), encore en lice
  14: Perosovitch (France), encore en lice
  15: R futur123 (France), encore en lice
  16: REXTOUEIX (France), encore en lice
  17: RFFPOKER (Espagne), encore en lice
  18: SebParty (France), encore en lice
  19: TCHAB (France), encore en lice
  20: angelar98 (Espagne), encore en lice
  21: b0wned (France), encore en lice
  22: bibapelulap0007 (France), encore en lice
  23: capi-chulo69 (Espagne), encore en lice
  24: cypatcypat (France), encore en lice
  25: max4653 (France), encore en lice
  26: monsterhan (Espagne), encore en lice
  27: mumofseven9 (France), encore en lice
  28: olidieu (France), encore en lice
  29: pico6628 (France), encore en lice
  30: quintflush93 (France), encore en lice
  31: t twi$ter (Espagne), encore en lice
  32: tanyZAmpA69 (France), encore en lice
  33: tedtis (France), encore en lice
  34: psychoman59 (France), 
  35: yocottret (France), 
  36: zzamoraa (Espagne), 
  37: mydeur1 (France), 
  38: poty320 (Espagne), 
  39: ZukovGeneral (France), 
  40: jhonjaka (France), 
  41: Carlouquito_pok (France), 
  42: ZORBILLOU (France), 
  43: nimo22 (France), 
  44: casimir04 (France), 
  45: Querido Lobo (Espagne), 
  46: P4TOCHE (France), 
  47: françois3011 (France), 
  48: argax123 (Espagne), 
  49: awsl (France), 
  50: Lord_Kinius (Espagne), 
  51: Richi785 (Espagne), 
  52: raulfer272 (Espagne), 
  53: KAISER970 (Espagne), 
  54: josepo23 (Espagne), 
  55: MaxximusM (France), 
  56: zeblackjack (France), 
  57: Ju8395 (France), 
  58: polizee (Espagne), 
  59: Thaïs2012 (France), 
  60: CHRYSPROLS4 (France), 
  61: gaoneta_96 (Espagne), 
  62: cepourmoi56 (France), 
  63: SPÑtamara (Espagne), 
  64: CHTIBET (France), 
  65: Kalzonette (France), 
  66: ionesanchez (Espagne), 
  67: Gros0654 (France), 
  68: CHRISMO4289 (France), 
  69: touvosou (France), 
  70: yvcn05 (France), 
Vous avez terminé le tournoi (éliminé lors de la main #238439130493).


