PokerStars Tournoi #3450746320, No Limit Hold'em
Super Satellite
Buy-in : €4.50/€0.50 EUR
116 joueurs
Dotation totale : €522.00 EUR 
Tournoi cible #3450744885 Buy-in : €20.00 EUR
Tournoi commencé 07/08/2022 18:00:00 CET [07/08/2022 12:00:00 ET]

  1: AspicK666 (France),  (qualifiés pour le tournoi cible)
  2: BeMJack (France),  (qualifiés pour le tournoi cible)
  3: Delitoscid (Espagne),  (qualifiés pour le tournoi cible)
  4: Kdclass31 (Espagne),  (qualifiés pour le tournoi cible)
  5: Pirinete (Espagne),  (qualifiés pour le tournoi cible)
  6: Reyzous (France),  (qualifiés pour le tournoi cible)
  7: Rogorriti (Espagne),  (qualifiés pour le tournoi cible)
  8: Valerian7400 (France),  (qualifiés pour le tournoi cible)
  9: ZA314 (France),  (qualifiés pour le tournoi cible)
  10: artouze (France),  (qualifiés pour le tournoi cible)
  11: atpea02 (France),  (qualifiés pour le tournoi cible)
  12: badboy290934 (France),  (qualifiés pour le tournoi cible)
  13: banh57 (France),  (qualifiés pour le tournoi cible)
  14: brubru06 (France),  (qualifiés pour le tournoi cible)
  15: clintstars2018 (France),  (qualifiés pour le tournoi cible)
  16: geiriing (Espagne),  (qualifiés pour le tournoi cible)
  17: joemanimal (France),  (qualifiés pour le tournoi cible)
  18: karlordd (Espagne),  (qualifiés pour le tournoi cible)
  19: megakraken (Espagne),  (qualifiés pour le tournoi cible)
  20: palestino11 (Espagne),  (qualifiés pour le tournoi cible)
  21: pangoline885 (Espagne),  (qualifiés pour le tournoi cible)
  22: psychoman59 (France),  (qualifiés pour le tournoi cible)
  23: rafa mc (Espagne),  (qualifiés pour le tournoi cible)
  24: roberto61700 (France),  (qualifiés pour le tournoi cible)
  25: t twi$ter (Espagne),  (qualifiés pour le tournoi cible)
  26: fxs34 (France),  (qualifiés pour le tournoi cible)
  27: AluCARDriveR (France), €2,00
  28: 40WAII (France), 
  29: stevepsg91 (France), 
  30: pierrot20114 (France), 
  31: manolo5660 (France), 
  32: Jatanse (Espagne), 
  33: tonioker61 (France), 
  34: obut721 (France), 
  35: davabad (Espagne), 
  36: ThorKhan (Espagne), 
  37: dieeegostar (Espagne), 
  38: smilous1 (France), 
  39: phil rob 33 (France), 
  40: solutions36 (Espagne), 
  41: R futur123 (France), 
  42: leboss62300 (France), 
  43: huesiteando (Espagne), 
  44: jeremy 22226 (France), 
  45: ismael-cuevs (Espagne), 
  46: SamGivernaud (France), 
  47: moustingue26 (France), 
  48: tuamotu89 (France), 
  49: AF1PATTA140783 (France), 
  50: Pau GTI (Espagne), 
  51: 23FERROL23 (Espagne), 
  52: Promotclic (France), 
  53: pitmccalloway (France), 
  54: serky6 (France), 
  55: luckyluc2222 (Espagne), 
  56: tonyzbo (France), 
  57: kchorret (Espagne), 
  58: proYHEKtosAA (Espagne), 
  59: KKooQQ (France), 
  60: NATHC3 (France), 
  61: manolito8888 (Espagne), 
  62: alescuerzo (Espagne), 
  63: EviL_FeeL (France), 
  64: LAURIC961 (France), 
  65: leoportu7 (Espagne), 
  66: Jose Yusé (Espagne), 
  67: mar7504cos (Espagne), 
  68: guayyydil (Espagne), 
  69: josedabete (Espagne), 
  70: luis_jinet (Espagne), 
  71: alex432046 (Espagne), 
  72: Bibichette59 (France), 
  73: Selfish74 (France), 
  74: rafa11902 (Espagne), 
  75: Ngol0Ante (France), 
  76: Macagol9 (Espagne), 
  77: POOKER1990 (Espagne), 
  78: elmolar (Espagne), 
  79: sebastian00707 (France), 
  80: Mayrron91 (France), 
  81: JAAKONRIVER (France), 
  82: tontongreg (France), 
  83: dramells (Espagne), 
  84: Malariuss (Espagne), 
  85: vomito30 (France), 
  86: GéGé 72 (France), 
  87: Bacalao33España (Espagne), 
  88: YOURBIGBROTHER (France), 
  89: colupat (France), 
  90: soldat-gege (France), 
  91: luilli444 (Espagne), 
  92: JRMMONTY (Espagne), 
  93: PEPEGOLDE (Espagne), 
  94: emidubs (France), 
  95: lebeninois (France), 
  96: rmp9391 (Espagne), 
  97: jeanluc95 (France), 
  98: bambi1818 (Espagne), 
  99: Squalinosse (France), 
  100: Naxotes (Espagne), 
  101: ThKokoro (France), 
  102: OrDur06 (France), 
  103: golfker (Espagne), 
  104: titice37 (France), 
  105: Jomun67100 (France), 
  106: Marce-ribe (Espagne), 
  107: paulaluci (Espagne), 
  108: mamourrr (France), 
  109: KissMyAAss22 (France), 
  110: nadador1969 (Espagne), 
  111: Fernan12345 (Espagne), 
  112: NoName.Paris.Fr (France), 
  113: Chlagito (France), 
  114: corinne02 (France), 
  115: serialkilllerAA (France), 
  116: 3l3ctrikman (France), 

Vous avez terminé à la 1er place (éliminé lors de la main #237846232305).


