PokerStars Tournoi #3414358010, No Limit Hold'em
Buy-in : €4.50/€0.50 EUR
148 joueurs
Dotation totale : €4000.00 EUR 
Tournoi commencé 24/05/2022 17:00:00 CET [24/05/2022 11:00:00 ET]

  1: **Osperamo** (Espagne), encore en lice
  2: 1Spe6men (France), encore en lice
  3: 1betan (Espagne), encore en lice
  4: 401Richi (Espagne), encore en lice
  5: 999mary999 (Bélarus), encore en lice
  6: ACAPULCO7 (Espagne), encore en lice
  7: AlexandraBotez (Lituanie), encore en lice
  8: BUISSON95 (France), encore en lice
  9: Bald&Broke (Pologne), encore en lice
  10: BenG16 (France), encore en lice
  11: BionOgurcov (Ukraine), encore en lice
  12: Blacjack0102 (Chili), encore en lice
  13: Black_Motya_07 (Bélarus), encore en lice
  14: Blackogr6666 (Ukraine), encore en lice
  15: BombayGordon (Lettonie), encore en lice
  16: Breogan1970 (Espagne), encore en lice
  17: CCarneiroNN (Portugal), encore en lice
  18: Carlos_Luperez (Espagne), encore en lice
  19: Chapatache (Espagne), encore en lice
  20: ChoSeN_AK_47 (Lettonie), encore en lice
  21: Choco Dropa (Portugal), encore en lice
  22: Dafolhaseca (Portugal), encore en lice
  23: Deepyos (Portugal), encore en lice
  24: DonCaesario (Ukraine), encore en lice
  25: Durval50 (Portugal), encore en lice
  26: FELIXVARON (Espagne), encore en lice
  27: FacileCeJeux (France), encore en lice
  28: Fanch11k (Ukraine), encore en lice
  29: Felgar66 (Espagne), encore en lice
  30: FishFromParis (Ukraine), encore en lice
  31: GGevod (Espagne), encore en lice
  32: GallardoTdl (Espagne), encore en lice
  33: GambleLord97 (Espagne), encore en lice
  34: Gruumpy35 (France), encore en lice
  35: Invicto.9110 (Espagne), encore en lice
  36: JETALOEIL666 (France), encore en lice
  37: JEZZÚ (Espagne), encore en lice
  38: JJamaicaKK88 (Portugal), encore en lice
  39: Jokz C (Portugal), encore en lice
  40: Kikekss (Ukraine), encore en lice
  41: Krasnui23 (Ukraine), encore en lice
  42: Lodiva (France), encore en lice
  43: MATISTIKK (France), encore en lice
  44: MERROBAN (Espagne), encore en lice
  45: Madoff1976 (France), encore en lice
  46: MegaXaker (Bélarus), encore en lice
  47: Momo974341 (France), encore en lice
  48: MrViSiOn57 (Espagne), encore en lice
  49: Natele67 (France), encore en lice
  50: OGMesquita (Portugal), encore en lice
  51: ONESTBIENLA (France), encore en lice
  52: OOÄMGEE (Finlande), encore en lice
  53: Pazybien (Espagne), encore en lice
  54: Penumbra888 (Espagne), encore en lice
  55: PlatOz06 (France), encore en lice
  56: RANGO AVG (Ukraine), encore en lice
  57: RaistlinAzul (Espagne), encore en lice
  58: Richarfish (Espagne), encore en lice
  59: SERCH841 (Espagne), encore en lice
  60: SIMA0613 (Ukraine), encore en lice
  61: SPÑtamara (Espagne), encore en lice
  62: SoyPadel.Set (Espagne), encore en lice
  63: T1ltMaker (Moldavie), encore en lice
  64: Takafolder (France), encore en lice
  65: Tandem8 (Ukraine), encore en lice
  66: Tarinanunesbet (Portugal), encore en lice
  67: TheJoker8211 (Espagne), encore en lice
  68: Titan1377 (France), encore en lice
  69: Tonas_10 (Portugal), encore en lice
  70: VMinipichu (Espagne), encore en lice
  71: ViachlackG (Espagne), encore en lice
  72: WeArENeGaN (France), encore en lice
  73: Wenceslas750 (France), encore en lice
  74: Xilloux (France), encore en lice
  75: Yulss AA (Espagne), encore en lice
  76: Zizoupitou (France), encore en lice
  77: aguilerajj (Espagne), encore en lice
  78: anyytony (Espagne), encore en lice
  79: asmfc33 (France), encore en lice
  80: azerty04000 (France), encore en lice
  81: balotelli4598 (Espagne), encore en lice
  82: bepbep4 (France), encore en lice
  83: betty95100 (France), encore en lice
  84: bettyvilmala (Espagne), encore en lice
  85: buenomario (Espagne), encore en lice
  86: chalaita (Espagne), encore en lice
  87: chloe121149 (France), encore en lice
  88: claudionune (Portugal), encore en lice
  89: clementine80 (France), encore en lice
  90: coe71 (Espagne), encore en lice
  91: coldmark1 (Ouzbékistan), encore en lice
  92: confuciouss1 (Réunion), encore en lice
  93: cp83700 (France), encore en lice
  94: cramitOO7 (France), encore en lice
  95: demaksli (Bélarus), encore en lice
  96: edu1199edu (Espagne), encore en lice
  97: el_vivi23 (Espagne), encore en lice
  98: es_tomsy [2] (France), encore en lice
  99: gardou51 (France), encore en lice
  100: himalaya30 (Espagne), encore en lice
  101: ispanec2021 (Bélarus), encore en lice
  102: jauria13 (Espagne), encore en lice
  103: javi46 (Espagne), encore en lice
  104: jcvegabarry (Espagne), encore en lice
  105: jhonjonny (Espagne), encore en lice
  106: kosta.kdl (France), encore en lice
  107: lecoque187 (France), encore en lice
  108: longdimir (Bélarus), encore en lice
  109: maniser (Espagne), encore en lice
  110: maqew (Ukraine), encore en lice
  111: mistertoto77 (France), encore en lice
  112: mobydicko (Espagne), encore en lice
  113: mvdntk (Espagne), encore en lice
  114: ogibus (France), encore en lice
  115: olijmandrea (Espagne), encore en lice
  116: oliver_AAAAK (Portugal), encore en lice
  117: olympiqueZ (France), encore en lice
  118: otvargoblina (Bélarus), encore en lice
  119: p3iro (Espagne), encore en lice
  120: paketeasomas (Espagne), encore en lice
  121: patroglo1955 (Espagne), encore en lice
  122: ph0763 (France), encore en lice
  123: pitmaz03 (France), encore en lice
  124: pttitom55 (France), encore en lice
  125: recrrcr21 (Bélarus), encore en lice
  126: roler97 (Espagne), encore en lice
  127: royalflush0306 (France), encore en lice
  128: scottschneids (Hongrie), encore en lice
  129: shwsm (Ukraine), encore en lice
  130: siempreamas (Espagne), encore en lice
