PokerStars Tournoi #3436562913, No Limit Hold'em
Super Satellite
Buy-in : €18.00/€2.00 EUR
85 joueurs
Dotation totale : €1530.00 EUR 
Tournoi cible #3436562882 Buy-in : €250.00 EUR
Tournoi commencé 01/08/2022 21:00:00 CET [01/08/2022 15:00:00 ET]

  1: **civilin** (Espagne), encore en lice
  2: 3SDz (France), encore en lice
  3: 3mili0o0o (Espagne), encore en lice
  4: 50KForMe (France), encore en lice
  5: ALX_RUMBA (Espagne), encore en lice
  6: BTTisma (France), encore en lice
  7: BaByl0ne (France), encore en lice
  8: CACYNA2Wish (France), encore en lice
  9: Cyssof (France), encore en lice
  10: Dragoman25 (Espagne), encore en lice
  11: Echeyde (Espagne), encore en lice
  12: FilDot_Btz (France), encore en lice
  13: FormyCamille (France), encore en lice
  14: Fumeke313 (Espagne), encore en lice
  15: Griffythh (France), encore en lice
  16: Gwey87 (France), encore en lice
  17: JORGE GAL404 (Espagne), encore en lice
  18: Jaunesnoow (France), encore en lice
  19: Kalamityiker (Espagne), encore en lice
  20: KinGGunteRps (France), encore en lice
  21: Koñerman (Espagne), encore en lice
  22: LECYBORG-1- (France), encore en lice
  23: LeladaMadrina (Espagne), encore en lice
  24: M2MM (France), encore en lice
  25: MFujiyama (France), encore en lice
  26: MambaLek (France), encore en lice
  27: Mickey28850 (Espagne), encore en lice
  28: Misterchriis (France), encore en lice
  29: Nelo7SV (Espagne), encore en lice
  30: POLORIS (France), encore en lice
  31: Power2812 (Espagne), encore en lice
  32: Siger297 (France), encore en lice
  33: Ste7en Hurts (France), encore en lice
  34: Victorlh6 (Espagne), encore en lice
  35: alibala333 (France), encore en lice
  36: amandis_poker (Espagne), encore en lice
  37: anperi (Espagne), encore en lice
  38: bigtop93 (France), encore en lice
  39: caliorro (Espagne), encore en lice
  40: carlosmetal_29 (Espagne), encore en lice
  41: clintstars2018 (France), encore en lice
  42: crac006 (France), encore en lice
  43: deejay12822 (Espagne), encore en lice
  44: fede107af (Espagne), encore en lice
  45: himalaya30 (Espagne), encore en lice
  46: jenyfaire (France), encore en lice
  47: joram6901 (France), encore en lice
  48: joseAGM_91 (Espagne), encore en lice
  49: kaeleay (France), encore en lice
  50: magikchris13 (France), encore en lice
  51: maxilegrand90 (France), encore en lice
  52: mbl1988 (France), encore en lice
  53: omallet69220 (France), encore en lice
  54: pepemaria11 (Espagne), encore en lice
  55: piratedu61 (France), encore en lice
  56: polloonfire (Espagne), encore en lice
  57: rcovino (France), encore en lice
  58: repoker8 (Espagne), encore en lice
  59: ricderum (France), encore en lice
  60: tornako (Espagne), encore en lice
  61: touvosou (France), encore en lice
  62: vijas (Espagne), encore en lice
  63: vjosa17 (France), encore en lice
  64: w4bz609 (France), encore en lice
  65: xeric88 (France), encore en lice
  66: zebul33 (France), encore en lice
  67: zlatanwise (Espagne), encore en lice
  68: psychoman59 (France), 
  69: unlereile (Espagne), 
  70: J4lOoZ3e (France), 
  71: fred181186 (France), 
  72: gatoharder (Espagne), 
  73: ivan siete (Espagne), 
  74: mikymix38 (France), 
  75: toxomon 20 (Espagne), 
  76: vanessalim85 (France), 
  77: brexalebrija (Espagne), 
  78: fecalvarr (Espagne), 
  79: CLICKPATATE (France), 
  80: namaste03400 (France), 
  81: justluckpok (France), 
  82: nickisantoro72 (Espagne), 
  83: yousnouf (France), 
  84: Bolao46 (Espagne), 
  85: POKERMALOTE (Espagne), 
Vous avez terminé le tournoi (éliminé lors de la main #237728125637).


