PokerStars Tournoi #3436562912, No Limit Hold'em
Super Satellite
Buy-in : €18.00/€2.00 EUR
156 joueurs
Dotation totale : €2808.00 EUR 
Tournoi cible #3436562880 Buy-in : €250.00 EUR
Tournoi commencé 31/07/2022 19:30:00 CET [31/07/2022 13:30:00 ET]

  1: 13ROS13 (Espagne), encore en lice
  2: AimbotOp (Espagne), encore en lice
  3: Asqú (Espagne), encore en lice
  4: BaMbiGR (France), encore en lice
  5: Bananaaass (Espagne), encore en lice
  6: Barwuah7 (Espagne), encore en lice
  7: Beaubarde (France), encore en lice
  8: Boni444 (Espagne), encore en lice
  9: COCODRILO200 (Espagne), encore en lice
  10: Capoue59 (France), encore en lice
  11: Chavo7519 (Espagne), encore en lice
  12: Crakna (Espagne), encore en lice
  13: CrazyJoker86 (Espagne), encore en lice
  14: DKKONGER (France), encore en lice
  15: Dabvertical (France), encore en lice
  16: Enekkk (Espagne), encore en lice
  17: Gaspay (France), encore en lice
  18: Hapinessmith (France), encore en lice
  19: J2O0S1E4 (Espagne), encore en lice
  20: J4lOoZ3e (France), encore en lice
  21: JORGE GAL404 (Espagne), encore en lice
  22: Jakepoker2b (France), encore en lice
  23: JetCab333 (France), encore en lice
  24: JuniCris73 (France), encore en lice
  25: KANKOUMOUSSA6 (France), encore en lice
  26: Kikialamoss (Espagne), encore en lice
  27: Lombar8 (Espagne), encore en lice
  28: M0rPr3V1r (Espagne), encore en lice
  29: MINOTAURE92 (France), encore en lice
  30: MamaDontAllow (Espagne), encore en lice
  31: Manumontyf1 (Espagne), encore en lice
  32: MerciHM (France), encore en lice
  33: Mod'emploi (France), encore en lice
  34: NadroLL (France), encore en lice
  35: NoBanksy (Espagne), encore en lice
  36: OOOperQuee (Espagne), encore en lice
  37: PasDurrrr (France), encore en lice
  38: Patarrales (Espagne), encore en lice
  39: Planeta47 (Espagne), encore en lice
  40: RobertFabzihnio (France), encore en lice
  41: RoiDuDisengage (France), encore en lice
  42: RootsBet (France), encore en lice
  43: RraaahH (France), encore en lice
  44: SESTAOTARRA (Espagne), encore en lice
  45: Ste7en Hurts (France), encore en lice
  46: Superlopez5 (Espagne), encore en lice
  47: TheHammer930 (Espagne), encore en lice
  48: TheMad22 (France), encore en lice
  49: Txarlygortxu (Espagne), encore en lice
  50: VarrrC (France), encore en lice
  51: Ventafocs (Espagne), encore en lice
  52: WingFoil (Espagne), encore en lice
  53: ZEEKKEEZ (France), encore en lice
  54: akeiando (Espagne), encore en lice
  55: angietyty59 (France), encore en lice
  56: apache66669 (Espagne), encore en lice
  57: arolins (Espagne), encore en lice
  58: ases180 (Espagne), encore en lice
  59: balta234 (France), encore en lice
  60: barbutes (Espagne), encore en lice
  61: bcristian35 (Espagne), encore en lice
  62: boby7 (Espagne), encore en lice
  63: brothers14 (France), encore en lice
  64: carlbat (Espagne), encore en lice
  65: coco embrun (France), encore en lice
  66: coco33660 (France), encore en lice
  67: davids10887 (Espagne), encore en lice
  68: easyfoold (France), encore en lice
  69: fabv.972 (France), encore en lice
  70: firebowl67 (France), encore en lice
  71: fjrp3 (Espagne), encore en lice
  72: fulldestam (Espagne), encore en lice
  73: gabo596 (Espagne), encore en lice
  74: game37 (Espagne), encore en lice
  75: gangsstAKurd (France), encore en lice
  76: go_retogini (Espagne), encore en lice
  77: golfker (Espagne), encore en lice
  78: granucho (France), encore en lice
  79: hellokytti73 (Espagne), encore en lice
  80: husone (Espagne), encore en lice
  81: jean kesstou (France), encore en lice
  82: joaki21 (Espagne), encore en lice
  83: joaquinrecle67 (Espagne), encore en lice
  84: jonath3502 (France), encore en lice
  85: jongoss (Espagne), encore en lice
  86: jymyfloid (Espagne), encore en lice
  87: killer_88TT (Espagne), encore en lice
  88: kologne697 (France), encore en lice
  89: legolas30000 (Espagne), encore en lice
  90: lifetrance (France), encore en lice
  91: linarinho (Espagne), encore en lice
  92: lounge45 (France), encore en lice
  93: millechibres (France), encore en lice
  94: mrcassis95 (France), encore en lice
  95: msieurmilton (France), encore en lice
  96: nandofer1999 (Espagne), encore en lice
  97: nenerio (Espagne), encore en lice
  98: nivek03 (France), encore en lice
  99: pingala11 (France), encore en lice
  100: piturro69 (Espagne), encore en lice
  101: pokkerwinner (Espagne), encore en lice
  102: polaroid83 (Espagne), encore en lice
  103: pozilgas (Espagne), encore en lice
  104: pusshh (Espagne), encore en lice
  105: radical_287 (Espagne), encore en lice
  106: rimas119 (Espagne), encore en lice
  107: seblind (France), encore en lice
  108: sergioAKQJ10 (Espagne), encore en lice
  109: sigmunnakata (Espagne), encore en lice
  110: soifranc31 (France), encore en lice
  111: st0ckt0n1277 (France), encore en lice
  112: starpool23 (Espagne), encore en lice
  113: stounate (France), encore en lice
  114: swantea420 (France), encore en lice
  115: t twi$ter (Espagne), encore en lice
  116: tomas asecas (Espagne), encore en lice
  117: tontongreg (France), encore en lice
  118: tonytonet354 (France), encore en lice
  119: trinacria07 (Espagne), encore en lice
  120: viny357 (France), encore en lice
  121: winmax2 (France), encore en lice
  122: xusnow (Espagne), encore en lice
  123: yaboss97410 (France), encore en lice
  124: zorzi73 (France), encore en lice
  125: psychoman59 (France), 
  126: cimbrel (Espagne), 
  127: corinne02 (France), 
  128: Sinbadlol (France), 
  129: rulich10 (Espagne), 
  130: EviL_FeeL (France), 
  131: lud6980 (France), 
  132: foolo3 (France), 
  133: youns60 (France), 
  134: chenrise (Espagne), 
  135: zebul33 (France), 
  136: L.solitaire (France), 
  137: baseman74 (France), 
  138: GuillePlazz (Espagne), 
  139: petete7719 (Espagne), 
  140: muñeco129 (Espagne), 
  141: andresbbbb (Espagne), 
  142: Emi30660 (France), 
  143: VERITE689 (Espagne), 
  144: fishdluxe (France), 
  145: chicaneur69 (France), 
  146: isaboh520 (France), 
  147: jmcafein29 (France), 
  148: trapera440 (France), 
  149: walfy7 (France), 
  150: RaulesGM (Espagne), 
  151: shoveandmuck (France), 
  152: vegas_2120 (Espagne), 
  153: j.koli (Espagne), 
  154: Theo972Win (France), 
  155: kmin1606 (France), 
  156: Emmyback1972 (France), 
Vous avez terminé le tournoi (éliminé lors de la main #237705162117).


