PokerStars Tournoi #3450746327, No Limit Hold'em
Super Satellite
Buy-in : €4.50/€0.50 EUR
106 joueurs
Dotation totale : €477.00 EUR 
Tournoi cible #3450744893 Buy-in : €20.00 EUR
Tournoi commencé 14/08/2022 18:00:00 CET [14/08/2022 12:00:00 ET]

  1: Agatzeblues (France), encore en lice
  2: Cous1Mach1 (France), encore en lice
  3: CrazyJoker86 (Espagne), encore en lice
  4: Daniel11so (Espagne), encore en lice
  5: HoKusai_Fami (France), encore en lice
  6: JORGE GAL404 (Espagne), encore en lice
  7: Ksst0r (Espagne), encore en lice
  8: NBTM1 (France), encore en lice
  9: Pepericci (France), encore en lice
  10: Phraedx (France), encore en lice
  11: Piar188 (Espagne), encore en lice
  12: Roi du kebab (France), encore en lice
  13: SOAD1977 (Espagne), encore en lice
  14: ThorKhan (Espagne), encore en lice
  15: aburejo2 (Espagne), encore en lice
  16: amorata (Espagne), encore en lice
  17: ataslanotax (France), encore en lice
  18: bossmanporto (Espagne), encore en lice
  19: davabad (Espagne), encore en lice
  20: gelin72 (Espagne), encore en lice
  21: golfker (Espagne), encore en lice
  22: jeje2236492 (France), encore en lice
  23: jockerman14 (France), encore en lice
  24: kanoute77 (Espagne), encore en lice
  25: kikinhiobass9 (Espagne), encore en lice
  26: licomalu (Espagne), encore en lice
  27: marioda19 (Espagne), encore en lice
  28: minotour60 (France), encore en lice
  29: novatada (Espagne), encore en lice
  30: qqqqyomisma (Espagne), encore en lice
  31: reymel (Espagne), encore en lice
  32: rico27240 (France), encore en lice
  33: samzak232 (France), encore en lice
  34: xocobom (Espagne), encore en lice
  35: psychoman59 (France), 
  36: BlackAx (Espagne), 
  37: Bibichette59 (France), 
  38: PROVOST GIGI (France), 
  39: KTA_MIRAGE (Espagne), 
  40: BorjaF26 (Espagne), 
  41: Kaskete2016 (Espagne), 
  42: dimoni888 (Espagne), 
  43: rusko83 (France), 
  44: lerouge34 (France), 
  45: nitro131 (Espagne), 
  46: jordi599 (Espagne), 
  47: Psycho6738 (France), 
  48: snakessss57 (France), 
  49: tonypurple44 (France), 
  50: djanr28 (Espagne), 
  51: carlosmbp (Espagne), 
  52: Barrigota (Espagne), 
  53: kelchatte (France), 
  54: uaretheIA (France), 
  55: bonsay2602 (Espagne), 
  56: distechman (France), 
  57: Mystic124 (France), 
  58: chrib0707 (France), 
  59: samirun (France), 
  60: ziggypop08 (France), 
  61: chacha66370 (France), 
  62: fanfan7171 (France), 
  63: bubbaloo2too (France), 
  64: corinne02 (France), 
  65: Mickey28850 (Espagne), 
  66: SoyonsZen (France), 
  67: GastonduTarn82 (France), 
  68: JAAKONRIVER (France), 
  69: solutions36 (Espagne), 
  70: myckyty (France), 
  71: Josito9393 (Espagne), 
  72: mafieuz (France), 
  73: Rooms0XI (France), 
  74: ALDOFRANK73 (France), 
  75: DOUD10 (France), 
  76: fifi38760 (France), 
  77: mariadr545 (France), 
  78: Vincho260181 (France), 
  79: euro279 (France), 
  80: hokusaimonet (France), 
  81: boulouloubi10 (France), 
  82: badboy290934 (France), 
  83: jeremy 22226 (France), 
  84: zeze11100 (France), 
  85: 08041954 (Espagne), 
  86: zuri28 (Espagne), 
  87: aciers18 (France), 
  88: PEPEGOLDE (Espagne), 
  89: bifftanen500 (France), 
  90: Valencinco (Espagne), 
  91: giimeenezzz (Espagne), 
  92: ojo_halcon (Espagne), 
  93: Rafapoker157 (Espagne), 
  94: ONDARRU (Espagne), 
  95: claude67120 (France), 
  96: jeycancoon (France), 
  97: bastos33460 (France), 
  98: Dahudahu (France), 
  99: coucou260976 (France), 
  100: abubauti90 (Espagne), 
  101: kritical777 (Espagne), 
  102: barbutes (Espagne), 
  103: PALT64 (France), 
  104: benoit34932 (France), 
  105: jimmy061187 (France), 
  106: mishel66451 (France), 

Vous avez terminé à la 35e place (éliminé lors de la main #237986188913).


