PokerStars Tournoi #3450744885, No Limit Hold'em
Super Satellite
Buy-in : €18.00/€2.00 EUR
145 joueurs
Dotation totale : €2610.00 EUR 
Tournoi cible #3436562882 Buy-in : €250.00 EUR
Tournoi commencé 07/08/2022 21:00:00 CET [07/08/2022 15:00:00 ET]

  1: LECYBORG-1- (France), encore en lice
  2: Rogorriti (Espagne), encore en lice
  3: Stromae17 (France), encore en lice
  4: TheMad22 (France), encore en lice
  5: Valerian7400 (France), encore en lice
  6: WeArENeGaN (France), encore en lice
  7: avetamotoret (Espagne), encore en lice
  8: bigtop93 (France), encore en lice
  9: locusrise88 (Espagne), encore en lice
  10: pepemaria11 (Espagne), encore en lice
  11: sackaro (Espagne), encore en lice
  12: psychoman59 (France), €10,00
  13: bonito785 (France), 
  14: fred181186 (France), 
  15: golfker (Espagne), 
  16: Kdclass31 (Espagne), 
  17: Peque54 (France), 
  18: dammo1979 (Espagne), 
  19: Reyzous (France), 
  20: kzylord (France), 
  21: sergioAKQJ10 (Espagne), 
  22: john0666 (France), 
  23: Fenoname (France), 
  24: miquelet55 (Espagne), 
  25: megakraken (Espagne), 
  26: phane56 (France), 
  27: gafd2015 (France), 
  28: touvosou (France), 
  29: panel06 (France), 
  30: marioalon (Espagne), 
  31: CHOLOPETYONE (Espagne), 
  32: F.Loarte (Espagne), 
  33: Aalnes (France), 
  34: cris7_teruel (Espagne), 
  35: miguestars (Espagne), 
  36: VERITE689 (Espagne), 
  37: BeMJack (France), 
  38: pingui1211 (Espagne), 
  39: rcandratx (Espagne), 
  40: Tuturshark (France), 
  41: AnthoninM (France), 
  42: 3mili0o0o (Espagne), 
  43: geiriing (Espagne), 
  44: juanxo@red (Espagne), 
  45: AleJhate (Espagne), 
  46: ZA314 (France), 
  47: D4betbufvalue (France), 
  48: Tchikitoumtoum (France), 
  49: DRoLiLLo (Espagne), 
  50: alexjandel (Espagne), 
  51: grinder_cat (Espagne), 
  52: parejaas (Espagne), 
  53: spiciacari (Espagne), 
  54: kissmelody (France), 
  55: husone (Espagne), 
  56: Pableras (Espagne), 
  57: Elmodelta15 (Espagne), 
  58: _JeuneJoueur25 (France), 
  59: egarmol (Espagne), 
  60: viendij6 (Espagne), 
  61: SamoloX (Espagne), 
  62: tomate pourri (France), 
  63: kirikouillee (France), 
  64: Kurtixxx (France), 
  65: MT2923 (France), 
  66: die77777 (Espagne), 
  67: jjerome51 (France), 
  68: Pirinete (Espagne), 
  69: ferraz915 (Espagne), 
  70: Davie503 (France), 
  71: joangali55 (Espagne), 
  72: cafb41 (Espagne), 
  73: balta46 (Espagne), 
  74: Jolruiz11 (Espagne), 
  75: jimmyconorss (Espagne), 
  76: laito187 (France), 
  77: johan06pfc (France), 
  78: AspicK666 (France), 
  79: abbott45 (France), 
  80: Bamhoppus (France), 
  81: luis_jinet (Espagne), 
  82: brubru06 (France), 
  83: moriarte_8_ (Espagne), 
  84: rougeetnoir16 (France), 
  85: gabo596 (Espagne), 
  86: Dr laperche (France), 
  87: palestino11 (Espagne), 
  88: PazBarcelona (Espagne), 
  89: samson75 (France), 
  90: Mickey28850 (Espagne), 
  91: rubensosa111 (Espagne), 
  92: Maxhbd (France), 
  93: Bananaaass (Espagne), 
  94: lefennekzer (France), 
  95: Prouxch (France), 
  96: calude1 (France), 
  97: Dawöl (France), 
  98: xerez cd (Espagne), 
  99: Pitu52 (Espagne), 
  100: ACraigg (France), 
  101: Manumontyf1 (Espagne), 
  102: NeonnoeN (Espagne), 
  103: Flashblend69 (France), 
  104: SdeSierra (Espagne), 
  105: El_@ngel (Espagne), 
  106: tontongreg (France), 
  107: octopus13 (Espagne), 
  108: fransinatra10 (Espagne), 
  109: jultes (France), 
  110: Cyssof (France), 
  111: bambi1818 (Espagne), 
  112: banh57 (France), 
  113: elfantasmill (Espagne), 
  114: Delitoscid (Espagne), 
  115: franckybrant (France), 
  116: Basque61 (France), 
  117: fredaco88 (Espagne), 
  118: Fishaldinh0 (Espagne), 
  119: LrCarloos (Espagne), 
  120: FriEmiliano (Espagne), 
  121: drb2007 (Espagne), 
  122: QQ38000 (France), 
  123: badboy290934 (France), 
  124: cartacci (France), 
  125: bombadié (France), 
  126: clintstars2018 (France), 
  127: Nkz75 (France), 
  128: JORGE GAL404 (Espagne), 
  129: jajvani (France), 
  130: jojopoker69 (France), 
  131: poppy9999 (Espagne), 
  132: yakuse67 (France), 
  133: Zullaca (Espagne), 
  134: motogp2013 (Espagne), 
  135: badbruno59 (France), 
  136: Goldonimo (France), 
  137: joemanimal (France), 
  138: atpea02 (France), 
  139: alex15200 (France), 
  140: fab16440 (France), 
  141: aaronloverap (Espagne), 
  142: Lille ali (France), 
  143: parodavo (France), 
  144: artouze (France), 
  145: logan78930 (France), 

Vous avez terminé à la 12e place (éliminé lors de la main #237853952355).


